,,Grouped by length_of_stay_over_7_days,Grouped by length_of_stay_over_7_days
,,0,1
variable,level,,
n,,1234148,251732
"Age, median [Q1,Q3]",,"58.0 [36.0,72.0]","66.0 [54.0,78.0]"
"Gender, n (%)",Female,698382 (56.6),127643 (50.7)
"Gender, n (%)",Male,535766 (43.4),124089 (49.3)
"Race/Ethnicity, n (%)",Black,276476 (22.4),56736 (22.5)
"Race/Ethnicity, n (%)",Other,83453 (6.8),13139 (5.2)
"Race/Ethnicity, n (%)",White,873453 (70.8),181727 (72.2)
"Marital status, n (%)",Divorced or separated,108779 (8.8),26062 (10.4)
"Marital status, n (%)",Married or partnered,494338 (40.1),100037 (39.7)
"Marital status, n (%)",Other,21347 (1.7),4853 (1.9)
"Marital status, n (%)",Single,472301 (38.3),81815 (32.5)
"Marital status, n (%)",Widowed,136888 (11.1),38934 (15.5)
"Financial Class, n (%)",Medicaid,193978 (17.2),27991 (12.1)
"Financial Class, n (%)",Medicare,567435 (50.5),157690 (68.4)
"Financial Class, n (%)",Other,69940 (6.2),8329 (3.6)
"Financial Class, n (%)",Private health insurance,293292 (26.1),36550 (15.9)
"Year of Admission, n (%)",2011,144441 (11.7),32643 (13.0)
"Year of Admission, n (%)",2012,157936 (12.8),34697 (13.8)
"Year of Admission, n (%)",2013,164269 (13.3),33688 (13.4)
"Year of Admission, n (%)",2014,175256 (14.2),33411 (13.3)
"Year of Admission, n (%)",2015,175197 (14.2),34169 (13.6)
"Year of Admission, n (%)",2016,170920 (13.8),33796 (13.4)
"Year of Admission, n (%)",2017,182298 (14.8),35663 (14.2)
"Year of Admission, n (%)",2018,63831 (5.2),13665 (5.4)
"Cancer, n (%)",0.0,1093960 (88.6),208553 (82.8)
"Cancer, n (%)",1.0,140188 (11.4),43179 (17.2)
"Metastatic solid tumor, n (%)",0.0,1191809 (96.6),238165 (94.6)
"Metastatic solid tumor, n (%)",1.0,42339 (3.4),13567 (5.4)
"Solid organ transplant, n (%)",0.0,1211311 (98.1),240789 (95.7)
