,,Grouped by 30-day readmissions,Grouped by 30-day readmissions
,,0,1
variable,level,,
n,,1274858,211022
"Age, median [Q1,Q3]",,"59.0 [38.0,73.0]","62.0 [48.0,76.0]"
"Gender, n (%)",Female,713391 (56.0),112634 (53.4)
"Gender, n (%)",Male,561467 (44.0),98388 (46.6)
"Race/Ethnicity, n (%)",Black,276208 (21.7),57004 (27.0)
"Race/Ethnicity, n (%)",Other,84755 (6.7),11837 (5.6)
"Race/Ethnicity, n (%)",White,913085 (71.7),142095 (67.4)
"Marital status, n (%)",Divorced or separated,111680 (8.8),23161 (11.0)
"Marital status, n (%)",Married or partnered,515620 (40.5),78755 (37.3)
"Marital status, n (%)",Other,22847 (1.8),3353 (1.6)
"Marital status, n (%)",Single,477592 (37.5),76524 (36.3)
"Marital status, n (%)",Widowed,146611 (11.5),29211 (13.8)
"Financial Class, n (%)",Medicaid,188630 (16.3),33339 (17.0)
"Financial Class, n (%)",Medicare,601752 (51.9),123373 (63.0)
"Financial Class, n (%)",Other,70553 (6.1),7716 (3.9)
"Financial Class, n (%)",Private health insurance,298444 (25.7),31398 (16.0)
"Year of Admission, n (%)",2011,153044 (12.0),24040 (11.4)
"Year of Admission, n (%)",2012,165816 (13.0),26817 (12.7)
"Year of Admission, n (%)",2013,170225 (13.4),27732 (13.1)
"Year of Admission, n (%)",2014,177561 (13.9),31106 (14.7)
"Year of Admission, n (%)",2015,178650 (14.0),30716 (14.6)
"Year of Admission, n (%)",2016,174864 (13.7),29852 (14.1)
"Year of Admission, n (%)",2017,186482 (14.6),31479 (14.9)
"Year of Admission, n (%)",2018,68216 (5.4),9280 (4.4)
"Cancer, n (%)",0.0,1132653 (88.8),169860 (80.5)
"Cancer, n (%)",1.0,142205 (11.2),41162 (19.5)
"Metastatic solid tumor, n (%)",0.0,1232991 (96.7),196983 (93.3)
"Metastatic solid tumor, n (%)",1.0,41867 (3.3),14039 (6.7)
"Solid organ transplant, n (%)",0.0,1249930 (98.0),202170 (95.8)
"Solid organ transplant, n (%)",1.0,24928 (2.0),8852 (4.2)
"AIDS/HIV, n (%)",0.0,1271548 (99.7),209780 (99.4)
"AIDS/HIV, n (%)",1.0,3310 (0.3),1242 (0.6)
"Renal disease, n (%)",0.0,1141759 (89.6),166577 (78.9)
"Renal disease, n (%)",1.0,133099 (10.4),44445 (21.1)
"Mild liver disease, n (%)",0.0,1203462 (94.4),188471 (89.3)
"Mild liver disease, n (%)",1.0,71396 (5.6),22551 (10.7)
"Moderate or severe liver disease, n (%)",0.0,1259316 (98.8),203748 (96.6)
"Moderate or severe liver disease, n (%)",1.0,15542 (1.2),7274 (3.4)
"Diabetes with chronic complication, n (%)",0.0,1179239 (92.5),181523 (86.0)
"Diabetes with chronic complication, n (%)",1.0,95619 (7.5),29499 (14.0)
"Diabetes without chronic complication, n (%)",0.0,1042671 (81.8),149830 (71.0)
"Diabetes without chronic complication, n (%)",1.0,232187 (18.2),61192 (29.0)
"Hypertension, n (%)",0,495398 (38.9),51434 (24.4)
"Hypertension, n (%)",1,779460 (61.1),159588 (75.6)
"Myocardial infarction, n (%)",0.0,1221591 (95.8),194375 (92.1)
"Myocardial infarction, n (%)",1.0,53267 (4.2),16647 (7.9)
"CHF, n (%)",0.0,1109979 (87.1),160391 (76.0)
"CHF, n (%)",1.0,164879 (12.9),50631 (24.0)
"Cerebrovascular disease, n (%)",0.0,1120490 (87.9),172147 (81.6)
"Cerebrovascular disease, n (%)",1.0,154368 (12.1),38875 (18.4)
"COPD, n (%)",0.0,1034663 (81.2),148669 (70.5)
"COPD, n (%)",1.0,240195 (18.8),62353 (29.5)
"Pneumonia, n (%)",0.0,1132792 (88.9),164404 (77.9)
"Pneumonia, n (%)",1.0,142066 (11.1),46618 (22.1)
"Dementia, n (%)",0.0,1229397 (96.4),199607 (94.6)
"Dementia, n (%)",1.0,45461 (3.6),11415 (5.4)
"Anxiety, n (%)",0.0,1128595 (88.5),175845 (83.3)
"Anxiety, n (%)",1.0,146263 (11.5),35177 (16.7)
"Depression, n (%)",0.0,1066944 (83.7),159613 (75.6)
"Depression, n (%)",1.0,207914 (16.3),51409 (24.4)
"Psychosis, n (%)",0.0,1235772 (96.9),198023 (93.8)
"Psychosis, n (%)",1.0,39086 (3.1),12999 (6.2)
"Receiving dialysis, n (%)",0,1262254 (99.0),205835 (97.5)
"Receiving dialysis, n (%)",1,12604 (1.0),5187 (2.5)
"On total parenteral nutrition before or during admission, n (%)",0.0,1266134 (99.3),207908 (98.5)
"On total parenteral nutrition before or during admission, n (%)",1.0,8724 (0.7),3114 (1.5)
"Low hemoglobin level (<12) at discharge, n (%)",0,1070719 (84.0),166774 (79.0)
"Low hemoglobin level (<12) at discharge, n (%)",1,204139 (16.0),44248 (21.0)
"Low sodium level (<135) at discharge, n (%)",0,1243419 (97.5),203614 (96.5)
"Low sodium level (<135) at discharge, n (%)",1,31439 (2.5),7408 (3.5)
"Total ED visits in the last 6 months, median [Q1,Q3]",,"0.0 [0.0,1.0]","1.0 [0.0,3.0]"
"Number of patients with any ED visits in past 6 months, n (%)",N,763535 (59.9),78243 (37.1)
"Number of patients with any ED visits in past 6 months, n (%)",Y,511323 (40.1),132779 (62.9)
"Admitted from the ED, n (%)",0.0,671541 (52.7),88496 (41.9)
"Admitted from the ED, n (%)",1.0,603317 (47.3),122526 (58.1)
"Previous hospitalizations, median [Q1,Q3]",,"0.0 [0.0,2.0]","2.0 [0.0,6.0]"
"Admission class, n (%)",Ambulatory Surgical Procedures,7464 (0.6),617 (0.3)
"Admission class, n (%)",Emergency,6417 (0.5),641 (0.3)
"Admission class, n (%)",Hospice,1463 (0.1),23 (0.0)
"Admission class, n (%)",Inpatient,1011772 (79.6),174213 (82.7)
"Admission class, n (%)",Observation,228559 (18.0),33383 (15.8)
"Admission class, n (%)",Other,3799 (0.3),275 (0.1)
"Admission class, n (%)",Outpatient,9415 (0.7),1144 (0.5)
"Admission class, n (%)",Psychiatric inpatient,2936 (0.2),445 (0.2)
"Discharge location, n (%)",Expired,18615 (1.6),
"Discharge location, n (%)",General Acute Care Hospital,17490 (1.5),2365 (1.2)
"Discharge location, n (%)",Home,833797 (72.2),125762 (64.8)
"Discharge location, n (%)",Home Care Services,109327 (9.5),25643 (13.2)
"Discharge location, n (%)",Hospice,13765 (1.2),553 (0.3)
"Discharge location, n (%)",Intermediate care facility,7451 (0.6),1595 (0.8)
"Discharge location, n (%)",Left Against Medical Advice,10599 (0.9),3265 (1.7)
"Discharge location, n (%)",Long-Term Care Facility,12210 (1.1),2382 (1.2)
"Discharge location, n (%)",Other,6240 (0.5),869 (0.4)
"Discharge location, n (%)",Skilled nursing facility,115106 (10.0),30776 (15.8)
"Discharge location, n (%)",Transfer to a psychiatric hospital,6276 (0.5),552 (0.3)
"Discharge location, n (%)",Transfer to another hospital,4032 (0.3),450 (0.2)
